Date,Vam co dong,MocHoa,TanAn,TiDal
7/1/2005,125.5,49.1,1,-3.2
7/2/2005,135.2,0,0,-2.38
7/3/2005,144.9,12,4,-2.36
7/4/2005,154.6,29,0,-1.37
7/5/2005,164.3,36.6,3,-2.43
7/6/2005,173.9,11.2,0,-5.9
7/7/2005,183.6,5.2,0,-4.91
7/8/2005,193.3,2.3,0,-6.55
7/9/2005,203,0,0,-6.25
7/10/2005,212.7,8.5,0.2,-9.06
7/11/2005,222.3,5.9,0,-8.14
7/12/2005,232,9.4,3.6,-7.3
7/13/2005,241.7,14.4,0,-5.68
7/14/2005,251.4,0,1.2,-6.86
7/15/2005,261.1,11.6,0.4,-7.79
7/16/2005,270.7,2,0.5,-8.37
7/17/2005,280.4,37,0,-8.08
7/18/2005,290.1,0,13,-6.18
7/19/2005,299.8,0,0.3,-5.72
7/20/2005,309.5,0,0,-6.45
7/21/2005,319.1,0,11,-7.21
7/22/2005,328.8,0,7.5,-7.09
7/23/2005,338.5,63.1,3,-6.97
7/24/2005,348.2,23,7,-5.65
7/25/2005,357.9,0.6,21.8,-7.7
7/26/2005,367.6,3.8,6.5,-7.7
7/27/2005,377.2,12.6,0,-8.89
7/28/2005,386.9,0,9.2,-8.07
7/29/2005,396.6,2.2,10.4,-7.06
7/30/2005,406.3,0,5,-6.21
7/31/2005,416,0,13,-4.45
8/1/2005,425.6,0,2.5,-3.82
8/2/2005,439.5,0,1.6,-4.3
8/3/2005,466.8,15.4,0.2,-5.58
8/4/2005,476.5,0,1.6,-6.83
8/5/2005,497.9,0,6.2,-8.09
8/6/2005,509,0,1.2,-7.48
8/7/2005,507.6,26,0,-6.38
8/8/2005,500.7,1.4,0,-5.5
8/9/2005,496.2,0,0,-5.17
8/10/2005,483,2.4,0,-6.09
8/11/2005,475.1,1.3,0,-5.71
8/12/2005,474,0,0,-6.11
8/13/2005,470.6,0,0,-6.93
8/14/2005,453.3,6.3,0,-7.3
8/15/2005,432.6,0,0,-7.47
8/16/2005,420.5,0,2,-8.83
8/17/2005,411.5,1.1,0.2,-9.1
8/18/2005,408.7,0.2,1.2,-7.62
8/19/2005,408,0.4,0,-7.04
8/20/2005,405.3,7.2,57,-6.46
8/21/2005,404.9,55.2,26.6,-7.7
8/22/2005,406.3,0,0.7,-11.5
8/23/2005,406.6,13.1,3.6,-9.48
8/24/2005,406.6,18.1,2.8,-6.54
8/25/2005,412.5,18.9,0,-6.71
8/26/2005,420.1,1,7.4,-6.81
8/27/2005,426,0,7.6,-5.99
8/28/2005,428.8,3.5,11.6,-7.39
8/29/2005,431.5,4,0,-7.4
8/30/2005,434.3,0.1,20.2,-7.07
8/31/2005,437.1,0.1,2.1,-7.3
9/1/2005,652.6,0,2.6,-8.44
9/2/2005,668.2,0,2,-5.65
9/3/2005,671.3,0,0,-4.82
9/4/2005,670.3,0,4,-7.25
9/5/2005,672,0,1.5,-8.34
9/6/2005,673,0,5.4,-7.21
9/7/2005,668.9,1.1,0.5,-7.91
9/8/2005,702.4,0,0,-7.73
9/9/2005,799,0,0,-8.19
9/10/2005,700.3,6.8,11.3,-7.43
9/11/2005,898.6,3.1,0,-5.18
9/12/2005,900.7,4.2,0,-3.4
9/13/2005,902.4,0.2,0,-2.23
9/14/2005,993.1,1.9,7,0.14
9/15/2005,986.8,8.9,5,2.77
9/16/2005,979.9,5.8,0,2.64
9/17/2005,966.8,0,0,2.86
9/18/2005,954.7,0,0,3.88
9/19/2005,960.9,1.6,0,3.86
9/20/2005,972,0.4,0,3.25
9/21/2005,972.3,22.4,0,4.12
9/22/2005,967.1,9.2,0,3.31
9/23/2005,954.7,8.7,0,1.69
9/24/2005,948.1,1,2.7,0.71
9/25/2005,945,38.7,0,-0.46
9/26/2005,847.1,6.6,0,-0.27
9/27/2005,847.1,1.6,20.8,0.55
9/28/2005,841.9,22,0.5,0.08
9/29/2005,843.3,0,4.5,0.35
9/30/2005,850.5,15.4,0.6,1.42
10/1/2005,847.1,13.6,0.9,4.24
10/2/2005,879,77.2,5,3.9
10/3/2005,830.8,7.9,0.4,1.4
10/4/2005,810.8,1.3,0,0.67
10/5/2005,895.2,0,0,-0.49
10/6/2005,883.1,66.6,0,-2.74
10/7/2005,774.5,23.8,92,-5.23
10/8/2005,772.7,47.7,0.4,-3.13
10/9/2005,764.1,2.5,0,-2.7
10/10/2005,752,13.2,0,-6.92
10/11/2005,740.2,8.5,0,-5.55
10/12/2005,728.5,8.8,44,-4.51
10/13/2005,722.6,16.2,9.8,-4.21
10/14/2005,707,3.8,26,-4.02
10/15/2005,710.5,0,0,-0.4
10/16/2005,715,0,0.5,2.06
10/17/2005,711.5,0,83.4,3.62
10/18/2005,708.1,2.1,18.5,4.23
10/19/2005,704.6,29.4,0.7,3.36
10/20/2005,701.2,2,0,2.28
10/21/2005,697.7,1.8,0,0.33
10/22/2005,694.3,0,8.2,0.44
10/23/2005,690.8,6.2,14.8,-0.83
10/24/2005,687.3,0.2,31.4,0.69
10/25/2005,683.9,0.4,2.7,1.73
10/26/2005,680.4,3,0,2.2
10/27/2005,677,7,0.6,1.85
10/28/2005,673.5,8,3.1,2.07
10/29/2005,670,5.3,0,3.58
10/30/2005,666.6,1.5,2,6.1
10/31/2005,660,0.9,4.3,6.75
11/1/2005,659.8,143.2,0,6.68
11/2/2005,659.7,0.2,0,9.47
11/3/2005,659.5,0,0,7.18
